,smiles,lgHL
0,Brc1cc(Br)c(cc1Oc1cc(Br)c(cc1Br)Br)Br,4.72
1,C=O,-1.08
2,CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,2
3,CCC1(NC(=O)N(C1=O)C)c1ccccc1,0.845
4,OC1CCC(=C)C(=CC=C2CCCC3(C2CCC3C(C=CC(C(C)C)C)C)C)C1,1.53
5,ClCCN(P1(=O)NCCCO1)CCCl,0.903
6,OCC(=O)C1(O)CCC2C1(C)CC(O)C1C2CCC2=CC(=O)CCC12C,0.204
7,OCC(=O)C1(O)CCC2C1(C)CC(O)C1C2CCC2=CC(=O)C=CC12C,0.531
8,Oc1ccc2c(c1)CCC1C2CCC2(C1CCC2O)C,0.23
9,ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,4.28
10,O=C1CCC(C(=O)N1)N1C(=O)c2c(C1=O)cccc2,0.672
11,COC(=O)C1C(CC2N(C1CC2)C)OC(=O)c1ccccc1,-0.119
12,CCN(C(=O)C1CN(C)C2C(=C1)c1cccc3c1c(C2)c[nH]3)CC,0.477
13,CNCCCN1c2ccccc2CCc2c1cccc2,1.34
14,CN(CCC=C1c2ccccc2CCc2c1cccc2)C,1.23
15,CN(CCCN1c2ccccc2CCc2c1cccc2)C,1.2
16,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1c(S2)cccc1,1.36
17,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C,1.04
18,Cc1ccc(cc1)N(c1cccc(c1)O)CC1=NCCN1,-0.499
19,CC(=O)Oc1ccccc1C(=O)O,-0.585
20,CCN(CCNC(=O)c1ccc(cc1)N)CC,0.491
21,Fc1c[nH]c(=O)[nH]c1=O,-0.602
22,OCC(c1ccccc1)C(=O)OC1CC2N(C(C1)C1C2O1)C,0.653
23,OC(=O)C(Cc1cc(I)c(c(c1)I)Oc1cc(I)c(c(c1)I)O)N,2.19
24,CCCc1cc(=O)[nH]c(=S)[nH]1,0.114
25,OCC(c1ccccc1)C(=O)OC1CC2CCC(C1)N2C,0.613
26,ClCCN(CCCl)C,-0.602
27,CC(=O)SC1CC2=CC(=O)CCC2(C2C1C1CCC3(C1(CC2)C)CCC(=O)O3)C,-0.778
28,S=P(N1CC1)(N1CC1)N1CC1,0.431
29,COc1ccc(cc1OC)CCN(CCCC(c1ccc(c(c1)OC)OC)(C(C)C)C#N)C,0.447
30,NC(C(S)(C)C)C(=O)O,0
31,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Cl,1.54
32,OCC(=O)C1(O)CCC2C1(C)CC(=O)C1C2CCC2=CC(=O)C=CC12C,0.462
33,Oc1ccc2c(c1)CCC1C2CCC2(C1CCC2=O)C,1.28
34,ClC(C(c1ccccc1Cl)c1ccc(cc1)Cl)Cl,3.33
35,O=C1OCC2(C(C1)CCC1C2CCC2(C1CCC2(C)O)C)C,0.954
36,COc1ccc2c(c1)c(CC(=O)O)c(n2C(=O)c1ccc(cc1)Cl)C,0.146
37,CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,2.76
38,CN1CCCC1c1cccnc1,0.301
39,OC(=O)c1cc(c(cc1NCc1ccco1)Cl)S(=O)(=O)N,0.398
40,O=C(C(c1cccnc1)(C)C)c1cccnc1,0.279
41,CCC1C(=O)OCC1Cc1cncn1C,-0.119
42,NNC(=O)c1ccncc1,0
43,O=N(=O)OC(CON(=O)=O)CON(=O)=O,-1.3
44,CS(=O)(=O)OCCCCOS(=O)(=O)C,0.531
45,O=C1NC(=O)C(C(=O)N1C)(C)C1=CCCCC1,0.69
46,C=CC1CN2CCC1CC2C(c1ccnc2c1cc(OC)cc2)O,0.82
47,OCC(C(c1ccc(cc1)N(=O)=O)O)NC(=O)C(Cl)Cl,0.663
48,OC1C=CC2C34C1Oc1c4c(CC2N(CC3)C)ccc1O,0.301
49,O=C1NC(=O)NC1(c1ccccc1)c1ccccc1,1.34
50,CCOC(=O)C1(CCN(CC1)C)c1ccccc1,0.898
51,CCCC(COC(=O)N)(COC(=O)N)C,1.15
52,C#CC1(O)CCC2C1(C)CCC1C2CCc2c1ccc(c2)O,0.987
53,CCCN(S(=O)(=O)c1ccc(cc1)C(=O)O)CCC,0.771
54,ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,3.32
55,O=C1CCC2(C(=C1)CCC1C2CCC2(C1CCC2C(=O)C)C)C,1.65
56,OCC1OC(OC2C(OC3C(O)C(O)C(C(C3NC(=N)N)O)NC(=N)N)OC(C2(O)C=O)C)C(C(C1O)O)NC,0.633
57,O=C1N(c2ccccc2)N(C(=O)C1CCS(=O)c1ccccc1)c1ccccc1,0.792
58,CN1CCc2c3C1Cc1ccc(c(c1c3ccc2)O)O,-0.167
59,Cn1cnc2c1c(=O)n(C)c(=O)n2C,0.69
60,CCc1nc(N)nc(c1c1ccc(cc1)Cl)N,2.15
61,O=C1CCC2(C(=C1)CCC1C2CCC2(C1CCC2O)C)C,0.263
62,CN=C1CN(O)C(=c2c(=N1)ccc(c2)Cl)c1ccccc1,0.919
63,OCCN(c1nc(N2CCCCC2)c2c(n1)c(nc(n2)N(CCO)CCO)N1CCCCC1)CCO,-0.176
64,CN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,0.954
65,OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,0.973
66,CN(CCCN1c2ccccc2Sc2c1cccc2)C,0.898
67,CCC(=C)C(=O)c1ccc(c(c1Cl)Cl)OCC(=O)O,0.156
68,Cn1c(=O)n(C)c2c(c1=O)[nH]cn2,0.857
69,CN(CCOC(c1ccccc1)c1ccccc1)C,0.968
70,COc1ccc(cc1OC)Cc1nccc2c1cc(OC)c(c2)OC,0.255
71,ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl,3.07
72,Clc1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N,1.01
73,CNCC(c1cccc(c1)O)O,0.439
74,CCN(CCOC(=O)c1ccc(cc1)N)CC,-0.892
75,CC(=O)Nc1nnc(s1)S(=O)(=O)N,1.11
76,NC(=O)NN=Cc1ccc(o1)N(=O)=O,0.699
77,OC(=O)C(Cc1ccc(c(c1)O)O)N,0.114
78,ClCCN(C(COc1ccccc1)C)Cc1ccccc1,1.38
79,NCCCCCC(=O)O,0.69
80,Cn1cc[nH]c1=S,0.38
81,ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,3.95
82,O=c1cc(n(n1c1ccccc1)C)C,1.08
83,CN(C(CN1c2ccccc2Sc2c1cccc2)C)C,1.09
84,COc1ccc2c(c1)N(CC(CN(C)C)C)c1c(S2)cccc1,1.48
85,COc1cccc(c1C(=O)NC1C(=O)N2C1SC(C2C(=O)O)(C)C)OC,-0.194
86,O=C(Cc1ccccc1)NC1C(=O)N2C1SC(C2C(=O)O)(C)C,-0.155
87,OC(=O)c1ccccc1Nc1cccc(c1C)C,0.301
88,CCOc1ccc(cc1)NC(=O)C,-0.0362
89,CCN(C(=O)C1CN2CCc3c(C2CC1OC(=O)C)cc(c(c3)OC)OC)CC,0.114
90,O=C(Cc1ccccc1)NC(=O)N,1.37
91,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,0.845
92,COc1c(OC)cc2c(c1OC)c1ccc(c(=O)cc1C(CC2)NC(=O)C)OC,1.76
93,OC(=O)C1N2C(=O)C(C2SC1(C)C)NC(=O)c1c(C)onc1c1ccccc1,-0.155
94,O=C1NC(=O)N(C1)N=Cc1ccc(o1)N(=O)=O,-0.0132
95,O=C1OCCN1N=Cc1ccc(o1)N(=O)=O,-0.778
96,ClC(Cl)Cl,0.176
97,OCC(=O)C12OC(OC1CC1C2(C)CC(O)C2(C1CC(C1=CC(=O)C=CC21C)F)F)(C)C,0.176
98,CC(CCCC(C1CCC2C1(C)CCCC2=CC=C1CC(O)CCC1=C)C)C,2.83
99,C#CC1(O)CCC2C1(C)CCC1C2CCC2=CC(=O)CCC12,0.845
100,Nc1ccc(cc1)S(=O)(=O)Nc1ncccn1,0.845
101,OCCOCCN1CCN(CC1)C(c1ccc(cc1)Cl)c1ccccc1,1.35
102,NC(c1ccccc1)C(=O)NC1C(=O)N2C1SC(C2C(=O)O)(C)C,0.146
103,OCC(C(C(C(CO)O)O)O)O,0.222
104,NCCCCCN(C(=O)CCC(=O)NCCCCCN(C(=O)CCC(=O)NCCCCCN(C(=O)C)O)O)O,0.778
105,c1ccccc1,1.38
106,O=C1OCC(=C1)C1CCC2(C1(C)CCC1C2CCC2C1(C)CCC(C2)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)O)O,2.26
107,ClC(=C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)Cl,4.88
108,CNCCC=C1c2ccccc2CCc2c1cccc2,1.48
109,COc1ccc2c(c1)c(CCNC(=O)C)c[nH]2,-0.15
110,O=S1(=O)NC(Cc2ccccc2)Nc2c1cc(c(c2)C(F)(F)F)S(=O)(=O)N,0.929
111,CCC(NCCNC(CO)CC)CO,0.491
112,ClC=C,-1
113,FC(Cl)(Cl)Cl,0.176
114,FC(Cl)(Cl)F,0.176
115,OCC(=O)C12OC(OC1CC1C2(C)CC(O)C2(C1CCC1=CC(=O)C=CC21C)F)(C)C,0.38
116,O=C1CCC2(C34C1Oc1c4c(CC2N(CC3)C)ccc1O)O,0.114
117,COc1ccc2c3c1OC1C43CCN(C(C2)C4(O)CCC1=O)C,0.74
118,O=C1CCC2(C(=C1)CCC1C2(F)C(O)CC2(C1CCC2(C)O)C)C,0.964
119,COc1ccc2c3c1OC1C43CCN(C(C2)C4C=CC1O)C,0.602
120,CCCC(C1(CC)C(=O)NC(=O)NC1=O)C,1.34
121,CCCC(C1(CC)C(=O)NC(=S)NC1=O)C,0.301
122,CCC(=O)C(c1ccccc1)(c1ccccc1)CC(N(C)C)C,1.49
123,Oc1ccc2c(c1)C13CCCCC3C(C2)N(CC1)C,1.13
124,C1CCC(CC1)(N1CCCCC1)c1ccccc1,1.2
125,CCC1(CCC(=O)NC1=O)c1ccccc1,1.04
126,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,1.54
127,CCCCC1(CC)C(=O)NC(=O)NC1=O,1.57
128,O=C1NC(c2c1cccc2)(O)c1ccc(c(c1)S(=O)(=O)N)Cl,1.56
129,OC(c1ccccc1)(C1CCCCC1)CCN1CCCC1,1.08
130,CN1C(=O)CC(C1=O)(C)c1ccccc1,0.301
131,CC1(CC)CC(=O)NC1=O,1.72
132,CCCC(COC(=O)N)(COC(=O)NC(C)C)C,0.903
133,CCC(=O)C,0.0792
134,ClC=C(Cl)Cl,1.6
135,ClC(C(=O)O)Cl,-0.187
136,CC(c1cc(Br)c(c(c1)Br)O)(c1cc(Br)c(c(c1)Br)O)C,2.33
137,CC(c1ccc(cc1)O)(c1ccc(cc1)O)C,0.301
138,Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N,1.34
139,OCC(=O)C1(O)CCC2C1(C)CC(O)C1C2CC(C2=CC(=O)C=CC12C)C,0.362
140,CCN(CCCC(Nc1c2cc(OC)ccc2nc2c1ccc(c2)Cl)C)CC,2.08
141,CN(CCOC(c1ccccc1C)c1ccccc1)C,1.22
142,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,-0.602
143,CCN1C(=O)NC(C1=O)c1ccccc1,0.778
