smiles,lgHL
OC(CN1CCN(CC1C(=O)NC(C)(C)C)Cc1cccnc1)CC(C(=O)NC1C(O)Cc2c1cccc2)Cc1ccccc1,0.255
Fc1cc2c(cc1N1CCNCC1)n(cc(c2=O)C(=O)O)C1CC1,0.58
OS(=O)CNc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NCS(=O)O,0.74
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1c(S2)cccc1,1.36
OC(=O)P(=O)(O)O,0.672
COc1ccc2c(c1)c(CC(=O)O)c(n2C(=O)c1ccc(cc1)Cl)C,0.146
CN(CCC(c1ccccn1)c1ccc(cc1)Cl)C,1.34
Clc1ccc(cc1)c1cc(Cl)c(cc1Cl)Cl,3.93
OC(c1cc(O)cc(c1)O)CNC(C)(C)C,1.18
ClC(C(c1ccccc1Cl)c1ccc(cc1)Cl)Cl,3.33
CN1CCOC(c2c(C1)cccc2)c1ccccc1,0.699
ClCCN(C(COc1ccccc1)C)Cc1ccccc1,1.38
CC(=O)NO,0.875
C1CCC(NC1)CC(C1CCCCC1)C1CCCCC1,1.98
COCCOC(=O)C1=C(C)NC(=C(C1c1cccc(c1)N(=O)=O)C(=O)OC(C)C)C,0.114
Fc1ccc2c(c1)onc2C1CCN(CC1)CCc1c(C)nc2n(c1=O)CCCC2,0.505
Cc1ccc(c(c1)C(c1ccccc1)CCN(C(C)C)C(C)C)O,0.38
Clc1c(Cl)cc2c(c1Cl)Oc1c(O2)cc(c(c1Cl)Cl)Cl,4.78
Brc1cc(Br)c(c(c1)Br)Oc1cc(Br)cc(c1)Br,4.17
COc1ccccc1OCC(CN1CCN(CC1)CC(=O)Nc1c(C)cccc1C)O,0.845
CCCCN1CC(O)C(C(C1CO)O)O,0.813
Clc1cc(Cl)c(c(c1)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl)Cl,5.08
O=C1CCC2(C34C1Oc1c4c(CC2N(CC3)C)ccc1O)O,0.114
CN(CCCN1c2ccccc2CCc2c1ccc(c2)O)C,1.0
Clc1ccc2c(c1)C(=NC(C(=O)N2)O)c1ccccc1Cl,1.23
Clc1ccc(c(c1)c1c(Cl)cccc1Cl)Cl,2.48
Clc1ccc(c(c1Cl)Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,5.14
CC1OC1P(=O)(O)O,0.279
O=C1CN=C(c2c(N1)ccc(c2)N(=O)=O)c1ccccc1,1.41
CCCCS(=O)(=O)NC(C(=O)O)Cc1ccc(cc1)OCCCCC1CCNCC1,0.204
O=C1NC(=O)C(S1)Cc1ccc(cc1)OCCN(c1ccccn1)C,0.591
OC1C=CC2C34C1Oc1c4c(CC2N(CC3)C)ccc1O,0.301
Clc1ccc(c(c1)c1cc(Cl)c(c(c1)Cl)Cl)Cl,2.44
CCCC(=O)OCOC(=O)C1=C(C)NC(=C(C1c1cccc(c1Cl)Cl)C(=O)OC)C,-0.523
COCc1c(c2ccc(cc2)F)c(C=CC(CC(CC(=O)O)O)O)c(nc1C(C)C)C(C)C,0.255
CCC1(C(=O)NC(=O)N(C1=O)C)c1ccccc1,1.53
Fc1ccc(cc1)C(c1ccc(cc1)F)N1CCN(CC1)CC=Cc1ccccc1,2.64
CCC12CC(=C)C3C(C1CCC2(O)C#C)CCC1=CCCCC31,1.44
C=CCN1CCC23C(C1Cc1c3cc(cc1)O)CCCC2,0.0
CCN(C(=O)Oc1cccc(c1)C(N(C)C)C)C,0.146
N#Cc1cc(c2ccncc2)c([nH]c1=O)C,-0.0969
CN(CCC=C1c2ccccc2OCc2c1cccc2)C,1.18
Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N,1.34
CC1OC(C(C1O)O)n1cc(F)c(=O)[nH]c1=O,-0.456
Clc1ccc(cc1)c1cc(Cl)cc(c1)Cl,1.78
CCN(C(CN1c2ccccc2Sc2c1cccc2)C)CC,0.176
N#CC1(CCC(CC1)C(=O)O)c1ccc(c(c1)OC1CCCC1)OC,0.898
O=C1Nc2c(C1)cc(c(c2)Cl)CCN1CCN(CC1)c1nsc2c1cccc2,0.491
CN(CCn1nnnc1SCC1=C(C(=O)O)N2C(SC1)C(C2=O)NC(=O)Cc1csc(n1)N)C,0.0
O=C1CCC2(C(=C1)C(=CC1C2CCC2(C1CCC2(O)C(=O)C)C)C)C,1.53
Cc1cccc(c1C)C(c1cnc[nH]1)C,0.342
CCN(CCNC(=O)c1ccc(cc1)N)CC,0.491
OCC(COc1ccccc1OC)O,0.0
OCCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,2.93
CN(CC(CN1c2ccccc2CCc2c1cccc2)C)C,1.36
NCC(CC(=O)O)CC(C)C,0.778
Clc1cccc(c1Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,3.48
CN(Cc1cccc2c1cccc2)CC=CC#CC(C)(C)C,1.56
Clc1cccc(c1Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl,3.48
CCCCCCCN(CCCC(c1ccc(cc1)NS(=O)(=O)C)O)CC,0.845
COc1ccc2c3c1OC1C43CCN(C(C2)C4CCC1=O)C,0.327
OCC1OC(CC1O)n1cnc2c1NC=NCC2O,0.756
Clc1ccc(c(c1)Cl)c1cc(Cl)cc(c1)Cl,3.18
COCCOc1cc2c(ncnc2cc1OCCOC)Nc1cccc(c1)C#C,1.56
c1ccc(cc1)c1ccccc1,0.278
OC(=O)CNC(C(=O)N1CCC1C(=O)NCc1ccc(cc1)C(=N)N)C1CCCCC1,0.204
Clc1ccc(cc1)c1cc(Cl)c(c(c1Cl)Cl)Cl,4.99
OCC(=O)C1(O)CCC2C1(C)CC(O)C1C2CC(C2=CC(=O)C=CC12C)C,0.362
O=C(C(C1=CCC=CC1)N)NC1C(=O)N2C1SCC(=C2C(=O)O)C,-0.0706
CCc1nn(c(=O)n1CCOc1ccccc1)CCCN1CCN(CC1)c1cccc(c1)Cl,0.0792
CN(Cc1nnc2n1c1ccc(cc1C(=NC2)c1ccccc1)Cl)C,0.322
COc1cc2nc(nc(c2cc1OC)N)N1CCN(CC1)C(=O)C1COc2c(O1)cccc2,0.973
OC(=O)C1=CC(=NNc2ccc(cc2)S(=O)(=O)Nc2ccccn2)C=CC1=O,0.875
NC(=O)c1cnccn1,0.978
CNCCCN1c2ccccc2CCc2c1cccc2,1.34
Clc1ccc(cc1)C1(O)CCN(CC1)CCC(C(=O)N(C)C)(c1ccccc1)c1ccccc1,1.03
CCOC(=O)C(Oc1ccc(cc1)Cl)(C)C,1.3
Cc1[nH]c2c(n1)c1ccccc1N(CC2)C(=O)c1ccc(cc1)NC(=O)c1ccccc1c1ccccc1,0.826
CCN(C(=O)C(=Cc1cc(O)c(c(c1)N(=O)=O)O)C#N)CC,0.38
O=S(CCCC(C(F)(F)F)(F)F)CCCCCCCCCC1Cc2cc(O)ccc2C2C1C1CCC(C1(CC2)C)O,2.98
NC(=N)N,0.875
OC(=O)C(c1ccc(cc1)C(=O)c1cccs1)C,0.322
NCCCNCCSP(=O)(O)O,-0.875
COC(=O)C(c1ccccc1)C1CCCCN1,0.681
OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2c1cccc2,0.778
CCCNC(C(=O)Nc1ccccc1C)C,0.255
Clc1c(ccc(c1Cl)Cl)c1ccc(c(c1Cl)Cl)Cl,4.55
N#Cc1ccc2c(c1)COC2(CCCN(C)C)c1ccc(cc1)F,1.52
COc1cc2ncnc(c2cc1OCCCN1CCOCC1)Nc1ccc(c(c1)Cl)F,1.43
OCC1OC(C(C1O)O)n1ccc(nc1=O)N,-0.778
Oc1ccc(cc1)C1CNCCc2c1cc(O)c(c2Cl)O,-1.08
N#Cc1ccc(cc1)C(n1cncn1)c1ccc(cc1)C#N,1.65
Clc1cc(Cl)c(c(c1Cl)Cl)c1c(Cl)ccc(c1Cl)Cl,3.48
CCOc1ccccc1OCCNC(Cc1ccc(c(c1)S(=O)(=O)N)OC)C,0.833
Clc1ccc(cc1)C(=O)NCCc1ccc(cc1)OC(C(=O)O)(C)C,0.301
Clc1cc(Cl)c(c(c1Cl)Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl,4.88
CCN(C(=O)C1CN2CCc3c(C2CC1OC(=O)C)cc(c(c3)OC)OC)CC,0.114
OCC(NC(=O)c1c(I)c(C(=O)NC(CO)CO)c(c(c1I)NC(=O)C(O)C)I)CO,0.322
Clc1cc(Cl)c(c(c1)c1c(Cl)ccc(c1Cl)Cl)Cl,3.31
CCC(=O)C1(CCN(CC1)C)c1cccc(c1)O,0.362
CCn1cc(C(=O)O)c(=O)c2c1cc(N1CCNCC1)c(c2)F,0.544
ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,3.32
Clc1ccc(cc1)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,4.94
CCOC(=O)C(NC(C(=O)N1CCCC1C(=O)O)C)CCc1ccccc1,1.04
Clc1cccc(c1c1ccc(cc1)Cl)Cl,2.7
CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1,0.477
Clc1ccc(c(c1Cl)Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl,4.88
CCC(=O)NCCC1CCc2c1c1CCOc1cc2,0.255
CCC1(C(=O)NCNC1=O)c1ccccc1,1.11
CCCc1c2oc(cc(=O)c2cc2c1n(CC)c(cc2=O)C(=O)O)C(=O)O,0.519
N#CCCN1C(=O)C(O)N=C(c2c1ccc(c2)Cl)c1ccccc1F,0.954
CC1(CC)CC(=O)NC1=O,1.72
OCC(=O)C1(O)CCC2C1(C)CC(O)C1C2CCC2=CC(=O)C=CC12C,0.531
C=CCc1ccccc1OCC(CNC(C)C)O,0.398
CN(C(CN1c2ccccc2Sc2c1cccc2)C)C,1.09
N#CC(c1ccc(c(c1)Oc1ccccc1)F)OC(=O)C1C(C1(C)C)C=C(Cl)Cl,0.845
NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(C1)CCc1ccc2c(c1)CCO2,0.556
OC(CCc1ccccc1)CCC1C(O)CC(C1CC=CCCCC(=O)OC(C)C)O,-0.548
Clc1c(Cl)c(Cl)c2c(c1Cl)oc1c2c(Cl)c(c(c1Cl)Cl)Cl,4.18
Fc1ccc2c(c1)onc2C1CCN(CC1)CCc1c(C)nc2n(c1=O)CCCC2O,1.36
SC(C(C(=O)O)S)C(=O)O,1.68
CNC1C(O)C2OC3OC(C)CC(=O)C3(OC2C(C1O)NC)O,0.255
OCC1OC(O)C(C(C1O)O)NC(=O)N(N=O)C,-0.778
Clc1ccc(cc1)C1(O)c2ccccc2C2=NCCN12,1.06
FC(Cl)(Cl)Cl,0.176
CC1Cc2c(N1NC(=O)c1ccc(c(c1)S(=O)(=O)N)Cl)cccc2,1.15
Clc1ccc(cc1Cl)c1c(Cl)cc(c(c1Cl)Cl)Cl,4.64
N1CC2CC(C1)c1c2cc2c(c1)nccn2,1.38
O1CCOCC1,-2.41e-16
OCC1OC(C(C1O)O)c1scc(n1)C(=O)N,0.771
O=C1CN=C(c2c(N1)ccc(c2)Cl)c1ccccc1Cl,2.3
CC(COc1c(C)cccc1C)N,0.996
Nc1ccc(c(c1)C(=O)O)O,-0.215
Cc1ccccc1C,1.59
NC(=NC(=O)c1cc(c(cc1C)n1cccc1)S(=O)(=O)C)N,0.342
C#CC1(O)CCC2C1(C)CCC1C2CCC2=CC(=O)CCC12,0.845
CC(C(=O)NC1C(=O)N2C1SC(C2C(=O)O)(C)C)Oc1ccccc1,-0.041
CC1N(C)CCOC1c1ccccc1,1.33
OC(=O)C(c1ccc(c(c1)F)c1ccccc1)C,0.716
COCCOc1cnc(nc1)NS(=O)(=O)c1ccccc1,0.602
NC(=NCC1COC2(O1)CCCCC2)N,1.0
CCOC(=O)Nc1ccc(nc1N)NCc1ccc(cc1)F,0.929
Cc1cn(C2OC(C=C2)CO)c(=O)[nH]c1=O,0.146
CCC(C#C)(C=CCl)O,1.78
Cc1cc2c(cc1C(=C)c1ccc(cc1)C(=O)O)C(C)(C)CCC2(C)C,0.845
OC(CC(CC(=O)O)O)CCn1c(C(C)C)c(c(c1c1ccc(cc1)F)c1ccccc1)C(=O)Nc1ccccc1,1.15
C=CCOc1ccccc1OCC(CNC(C)C)O,0.176
Clc1cc(Cl)cc(c1)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,5.22
