smiles,lgHL
CCN(CCNC(=O)c1ccc(cc1)NC(=O)C)CC,0.806
ONC(=O)CCCCCCC(=O)Nc1ccccc1,-0.119
CC(=O)Oc1ccccc1C(=O)O,-0.585
CCN(CCNC(=O)c1ccc(cc1)N)CC,0.491
Clc1cccc(c1)C(=O)C(NC(C)(C)C)C,1.38
OC(c1cc(Cl)c(c(c1)Cl)N)CNC(C)(C)C,1.57
CCCC(=O)Nc1ccc(c(c1)C(=O)C)OCC(CNC(C)C)O,0.544
COCCCOc1cc(ccc1OC)CC(C(C)C)CC(C(CC(C(=O)NCC(C(=O)N)(C)C)C(C)C)O)N,1.38
OCC(C(c1ccc(cc1)N(=O)=O)O)NC(=O)C(Cl)Cl,0.663
CCCN(S(=O)(=O)c1ccc(cc1)C(=O)O)CCC,0.771
CCC(=C)C(=O)c1ccc(c(c1Cl)Cl)OCC(=O)O,0.156
CNCC(c1cccc(c1)O)O,0.439
CCN(CCOC(=O)c1ccc(cc1)N)CC,-0.892
OC(=O)C(Cc1ccc(c(c1)O)O)N,0.114
NCCCCC(C(=O)NC(Cc1ccccc1)C)N,0.0
CCOc1ccc(cc1)NC(=O)C,-0.0362
O=C(Cc1ccccc1)NC(=O)N,1.37
CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,0.845
CC(C(=O)Nc1c(C)cccc1C)N,1.08
c1ccccc1,1.38
COCCc1ccc(cc1)OCC(CNC(C)C)O,0.556
Clc1c(Cl)cccc1Cl,1.68
Clc1c(O)c(Cl)c(c(c1Cl)Cl)Cl,1.48
Nc1ccc(c(c1)C(=O)O)O,-0.215
CNC(C(c1ccccc1)O)C,1.1
OCC(COc1ccccc1OC)O,0.0
CCCNC(=O)NS(=O)(=O)c1ccc(cc1)Cl,1.66
OC(=O)COc1ccc(cc1Cl)Cl,1.52
Cc1ccccc1C,1.59
O=N(=O)c1ccccc1,1.78
CCOC(=O)C=C(C=CC=C(C=Cc1c(C)cc(c(c1C)C)OC)C)C,3.46
NCCON=C(c1ccc(cc1)C(F)(F)F)CCCCOC,1.19
Clc1ccc(cc1)N(=O)=O,2.33
Nc1ccc(cc1)N(=O)=O,0.301
COc1cc(C)c(c(c1C)C)C=CC(=CC=CC(=CC(=O)O)C)C,1.69
CNC(Cc1ccccc1)(C)C,1.24
CC(=O)Nc1ccc(cc1)O,0.398
OCC(COc1ccc(cc1)Cl)O,0.562
COCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)c1ccc(cc1)NCCCC,0.74
Cc1ccc(cc1)C,1.48
Cc1cccc(c1)C,1.52
Oc1ccccc1,0.544
CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,-0.125
CC(=O)Nc1c(I)c(NC(=O)C)c(c(c1I)C(=O)O)I,0.255
Clc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,4.25
O=N(=O)c1ccc(c(c1)N(=O)=O)C,0.301
CC(Cc1ccccc1)(N)C,1.37
CCN(CC(=O)Nc1c(C)cccc1C)CC,0.204
CC(=O)NS(=O)(=O)c1ccc(cc1)N,0.996
OCC(NC(=O)c1c(I)c(C(=O)NC(CO)CO)c(c(c1I)NC(=O)C(O)C)I)CO,0.322
ClCCN(c1ccc(cc1)CC(C(=O)O)N)CCCl,0.0
CC(Cc1ccccc1)N,0.863
ClCCN(c1ccc(cc1)CCCC(=O)O)CCCl,0.0414
OC(COc1ccc(cc1)COCCOC(C)C)CNC(C)C,1.0
CCN(CCNC(=O)c1cc(Cl)c(cc1OC)N)CC,0.857
CC(Cc1ccc(cc1)Cl)(N)C,1.6
OC(c1ccccc1)C(N)C,0.716
COc1ccccc1OCC(COC(=O)N)O,0.0755
CNC(Cc1ccccc1)C,1.08
OC(=O)C(Cc1ccc(c(c1)O)O)(N)C,0.771
OC(c1cc(O)cc(c1)O)CNC(C)C,0.778
COCC(=O)Nc1c(I)c(C(=O)NCC(CO)O)c(c(c1I)C(=O)N(CC(CO)O)C)I,0.415
CCOC(=O)C(Oc1ccc(cc1)Cl)(C)C,1.3
CNNCc1ccc(cc1)C(=O)NC(C)C,-0.778
Oc1ccc(cc1)CC(C(=O)O)(N)C,0.55
CCNCC(c1cccc(c1)O)O,0.342
CCCNC(C(=O)Nc1ccccc1C)C,0.255
CC(NCCCNC(=O)Nc1c(C)cccc1C)C,0.699
NCC(c1ccc(cc1)Cl)CC(=O)O,0.179
CC(=O)CNc1c(I)c(NC(=O)C)c(c(c1I)C(=O)O)I,0.114
COC(=O)CCc1ccc(cc1)OCC(CNC(C)C)O,-0.824
O=C(N(C)C)Oc1cc(cc(c1)OC(=O)N(C)C)C(CNC(C)(C)C)O,0.415
CC(c1cccc(c1O)C(C)C)C,0.505
CNC(=O)c1c(I)c(NC(=O)C)c(c(c1I)C(=O)O)I,0.114
CC(N(CC#C)C)Cc1ccccc1,0.114
CCNC(Cc1cccc(c1)C(F)(F)F)C,1.15
O=C(c1ccccc1)NCCC(=O)O,-0.229
CC(NCC(c1ccc(cc1)NS(=O)(=O)C)O)C,0.799
CCN(CCNC(=O)c1cc(Br)c(cc1OC)N)CC,0.462
NC(=NN=Cc1c(Cl)cccc1Cl)N,0.778
C=CCOc1ccccc1OCC(CNC(C)C)O,0.176
CN(N=Nc1ccc(cc1)C(=O)O)C,0.398
CC(NCC(c1ccc(c(c1)O)O)O)C,-0.387
CCN(CCNC(=O)c1ccc(cc1)NS(=O)(=O)C)CC,0.58
C=CCc1ccccc1OCC(CNC(C)C)O,0.398
CC(Cc1ccc(cc1)C(C(=O)O)C)C,0.204
OCc1cc(ccc1O)C(CNC(C)(C)C)O,0.38
CCCCCN(C(=O)C(NC(=O)c1ccc(c(c1)Cl)Cl)CCC(=O)O)CCCOC,0.0792
OC(c1cc(O)cc(c1)O)CNC(C)(C)C,1.18
CCCCCCCN(CCCC(c1ccc(cc1)NS(=O)(=O)C)O)CC,0.845
CCN(C(=O)Oc1cccc(c1)C(N(C)C)C)C,0.146
NC(=O)OCC(c1ccccc1)COC(=O)N,1.33
Cc1ccc(c(c1)OCCCC(C(=O)O)(C)C)C,0.176
CCN(C(=O)C(=Cc1cc(O)c(c(c1)N(=O)=O)O)C#N)CC,0.38
COc1ccc(cc1C(CNC(=O)CN)O)OC,-0.301
NNC(C(=O)O)(Cc1ccc(c(c1)O)O)C,0.176
O=C(Cc1c(Cl)cccc1Cl)N=C(N)N,1.18
OC(COc1ccc(cc1)CC(=O)N)CNC(C)C,0.785
CC(COc1c(C)cccc1C)N,0.996
Clc1cc(cc(c1Cl)Cl)c1cc(Cl)c(c(c1)Cl)Cl,4.87
Clc1ccc(cc1)c1ccc(c(c1Cl)Cl)Cl,3.31
Clc1cc(Cl)c(c(c1c1c(Cl)cc(c(c1Cl)Cl)Cl)Cl)Cl,4.78
Clc1ccc(c(c1)Cl)c1ccccc1,1.58
Clc1cc(Cl)c(c(c1Cl)c1ccccc1)Cl,3.01
Clc1ccc(c(c1)c1ccccc1)Cl,1.58
Clc1cc(Cl)cc(c1)c1ccccc1,1.08
Clc1ccc(cc1)c1ccccc1Cl,1.64
Clc1cc(Cl)c(cc1c1cc(Cl)c(cc1Cl)Cl)Cl,5.11
Clc1cc(Cl)c(cc1c1ccc(c(c1Cl)Cl)Cl)Cl,4.93
Clc1cc(Cl)c(cc1c1cc(Cl)c(c(c1Cl)Cl)Cl)Cl,5.65
Clc1c(Cl)ccc(c1Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl,5.36
Clc1cc(Cl)c(c(c1)Cl)c1ccccc1,1.88
Clc1ccc(cc1c1cc(Cl)ccc1Cl)Cl,3.66
Clc1ccc(c(c1)Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl,5.4
Clc1ccc(c(c1)Cl)c1cccc(c1Cl)Cl,3.25
Clc1ccc(c(c1)c1ccccc1Cl)Cl,2.48
Clc1ccc(c(c1)Cl)c1ccccc1Cl,2.18
